ORDERNUMBER,PRODUCTCODE,CUSTOMERNAME,CITY,COUNTRY,TERRITORY,DEALSIZE,ORDERLINENUMBER
10107,S10_1678,Land of Toys Inc.,NYC,USA,NA,Small,2
10121,S10_1678,Reims Collectables,Reims,France,EMEA,Small,5
10134,S10_1678,Lyon Souveniers,Paris,France,EMEA,Medium,2
10145,S10_1678,Toys4GrownUps.com,Pasadena,USA,NA,Medium,6
10159,S10_1678,Corporate Gift Ideas Co.,San Francisco,USA,NA,Medium,14
10168,S10_1678,Technics Stores Inc.,Burlingame,USA,NA,Medium,1
10180,S10_1678,Daedalus Designs Imports,Lille,France,EMEA,Small,9
10188,S10_1678,Herkku Gifts,Bergen,Norway,EMEA,Medium,1
10201,S10_1678,Mini Wheels Co.,San Francisco,USA,NA,Small,2
10211,S10_1678,Auto Canal Petit,Paris,France,EMEA,Medium,14
10223,S10_1678,"Australian Collectors, Co.",Melbourne,Australia,APAC,Medium,1
10237,S10_1678,Vitachrome Inc.,NYC,USA,NA,Small,7
10251,S10_1678,Tekni Collectables Inc.,Newark,USA,NA,Medium,2
10263,S10_1678,Gift Depot Inc.,Bridgewater,USA,NA,Medium,2
10275,S10_1678,La Rochelle Gifts,Nantes,France,EMEA,Medium,1
10285,S10_1678,Marta's Replicas Co.,Cambridge,USA,NA,Medium,6
10299,S10_1678,"Toys of Finland, Co.",Helsinki,Finland,EMEA,Small,9
10309,S10_1678,Baane Mini Imports,Stavern,Norway,EMEA,Medium,5
10318,S10_1678,Diecast Classics Inc.,Allentown,USA,NA,Medium,1
10329,S10_1678,Land of Toys Inc.,NYC,USA,NA,Medium,1
10341,S10_1678,Salzburg Collectables,Salzburg,Austria,EMEA,Large,9
10361,S10_1678,Souveniers And Things Co.,Chatswood,Australia,APAC,Small,13
10375,S10_1678,La Rochelle Gifts,Nantes,France,EMEA,Small,12
10388,S10_1678,FunGiftIdeas.com,New Bedford,USA,NA,Medium,4
10403,S10_1678,"UK Collectables, Ltd.",Liverpool,UK,EMEA,Small,7
10417,S10_1678,Euro Shopping Channel,Madrid,Spain,EMEA,Large,2
10103,S10_1949,Baane Mini Imports,Stavern,Norway,EMEA,Medium,11
10112,S10_1949,"Volvo Model Replicas, Co",Lule,Sweden,EMEA,Large,1
10126,S10_1949,"Corrida Auto Replicas, Ltd",Madrid,Spain,EMEA,Large,11
10140,S10_1949,Technics Stores Inc.,Burlingame,USA,NA,Large,11
10150,S10_1949,"Dragon Souveniers, Ltd.",Singapore,Singapore,Japan,Large,8
10163,S10_1949,Classic Legends Inc.,NYC,USA,NA,Medium,1
