ORDERNUMBER,QUANTITYORDERED,PRICEEACH,MSRP,SALES,PROFIT_LOSS,ORDERDATE,PRODUCTCODE,STATUS,QTR_ID,MONTH_ID,YEAR_ID
10107,30,95.7,95,2871,21,2/24/2003,S10_1678,Shipped,1,2,2003
10121,34,81.35,95,2765.9,-464.1,5/7/2003,S10_1678,Shipped,2,5,2003
10134,41,94.74,95,3884.34,-10.66,7/1/2003,S10_1678,Shipped,3,7,2003
10145,45,83.26,95,3746.7,-528.3,8/25/2003,S10_1678,Shipped,3,8,2003
10159,49,100,95,5205.27,550.27,10/10/2003,S10_1678,Shipped,4,10,2003
10168,36,96.66,95,3479.76,59.76,10/28/2003,S10_1678,Shipped,4,10,2003
10180,29,86.13,95,2497.77,-257.23,11/11/2003,S10_1678,Shipped,4,11,2003
10188,48,100,95,5512.32,952.32,11/18/2003,S10_1678,Shipped,4,11,2003
10201,22,98.57,95,2168.54,78.54,12/1/2003,S10_1678,Shipped,4,12,2003
10211,41,100,95,4708.44,813.44,1/15/2004,S10_1678,Shipped,1,1,2004
10223,37,100,95,3965.66,450.66,2/20/2004,S10_1678,Shipped,1,2,2004
10237,23,100,95,2333.12,148.12,4/5/2004,S10_1678,Shipped,2,4,2004
10251,28,100,95,3188.64,528.64,5/18/2004,S10_1678,Shipped,2,5,2004
10263,34,100,95,3676.76,446.76,6/28/2004,S10_1678,Shipped,2,6,2004
10275,45,92.83,95,4177.35,-97.65,7/23/2004,S10_1678,Shipped,3,7,2004
10285,36,100,95,4099.68,679.68,8/27/2004,S10_1678,Shipped,3,8,2004
10299,23,100,95,2597.39,412.39,9/30/2004,S10_1678,Shipped,3,9,2004
10309,41,100,95,4394.38,499.38,10/15/2004,S10_1678,Shipped,4,10,2004
10318,46,94.74,95,4358.04,-11.96,11/2/2004,S10_1678,Shipped,4,11,2004
10329,42,100,95,4396.14,406.14,11/15/2004,S10_1678,Shipped,4,11,2004
10341,41,100,95,7737.93,3842.93,11/24/2004,S10_1678,Shipped,4,11,2004
10361,20,72.55,95,1451,-449,12/17/2004,S10_1678,Shipped,4,12,2004
10375,21,34.91,95,733.11,-1261.89,2/3/2005,S10_1678,Shipped,1,2,2005
10388,42,76.36,95,3207.12,-782.88,3/3/2005,S10_1678,Shipped,1,3,2005
10403,24,100,95,2434.56,154.56,4/8/2005,S10_1678,Shipped,2,4,2005
10417,66,100,95,7516.08,1246.08,5/13/2005,S10_1678,Disputed,2,5,2005
10103,26,100,214,5404.62,-159.38,1/29/2003,S10_1949,Shipped,1,1,2003
10112,29,100,214,7209.11,1003.11,3/24/2003,S10_1949,Shipped,1,3,2003
10126,38,100,214,7329.06,-802.94,5/28/2003,S10_1949,Shipped,2,5,2003
10140,37,100,214,7374.1,-543.9,7/24/2003,S10_1949,Shipped,3,7,2003
10150,45,100,214,10993.5,1363.5,9/19/2003,S10_1949,Shipped,3,9,2003
10163,21,100,214,4860.24,366.24,10/20/2003,S10_1949,Shipped,4,10,2003
10174,34,100,214,8014.82,738.82,11/6/2003,S10_1949,Shipped,4,11,2003
10183,23,100,214,5372.57,450.57,11/13/2003,S10_1949,Shipped,4,11,2003
10194,42,100,214,7290.36,-1697.64,11/25/2003,S10_1949,Shipped,4,11,2003
10206,47,100,214,9064.89,-993.11,12/5/2003,S10_1949,Shipped,4,12,2003
10215,35,100,214,6075.3,-1414.7,1/29/2004,S10_1949,Shipped,1,1,2004
10228,29,100,214,6463.23,257.23,3/10/2004,S10_1949,Shipped,1,3,2004
10245,34,100,214,6120.34,-1155.66,5/4/2004,S10_1949,Shipped,2,5,2004
10258,32,100,214,7680.64,832.64,6/15/2004,S10_1949,Shipped,2,6,2004
10270,21,100,214,4905.39,411.39,7/19/2004,S10_1949,Shipped,3,7,2004
10280,34,100,214,8014.82,738.82,8/17/2004,S10_1949,Shipped,3,8,2004
10291,37,100,214,7136.19,-781.81,9/8/2004,S10_1949,Shipped,3,9,2004
10304,47,100,214,10172.7,114.7,10/11/2004,S10_1949,Shipped,4,10,2004
10312,48,100,214,11623.7,1351.7,10/21/2004,S10_1949,Shipped,4,10,2004
10322,40,100,214,6000.4,-2559.6,11/4/2004,S10_1949,Shipped,4,11,2004
